dataset,measure,k,method,estimate,se,abs_shift_vs_reml
CD001155_pub3_data,OR,80,HGAM,0.0631682746289785,0.152282856942102,0.188880911261585
CD001155_pub3_data,OR,80,MTLE,-0.127428964328874,0.0580822875262189,0.00171632769626789
CD001155_pub3_data,OR,80,PBM,-0.127521950523577,0.0474840066369491,0.00180931389097014
CD001155_pub3_data,OR,80,FATIHA,-0.125710909118674,0.0357090864023535,1.72751393254234e-06
CD001321_pub7_data,OR,80,REML,-0.29024982182456,0.0511758545651381,0
CD001321_pub7_data,OR,80,HKSJ,-0.29024982182456,0.0500597392250244,0
CD001321_pub7_data,OR,80,QSE,-0.29024982182456,0.0506085687292112,0
CD001321_pub7_data,OR,80,LTH,-0.282639094208462,0.0449179794892855,0.00761072761609788
CD001321_pub7_data,OR,80,RMR,-0.286660974154313,0.0517289674096502,0.00358884767024631
CD001321_pub7_data,OR,80,CRT,-0.29024982182456,0.0500597392250244,0
CD001321_pub7_data,OR,80,AWH,-0.299201036202774,0.0511758558907818,0.00895121437821434
CD001321_pub7_data,OR,80,MRSTACK,-0.233878848463251,0.129746014422497,0.0563709733613085
CD001321_pub7_data,OR,80,SAFE,-0.288806383819083,0.0507680672517397,0.00144343800547669
CD001321_pub7_data,OR,80,CPC,-0.259699104285037,0.406401671883411,0.0305507175395228
CD001321_pub7_data,OR,80,DTM,-0.289225213747544,0.0537547965266044,0.00102460807701515
CD001321_pub7_data,OR,80,BSC,-0.290249822507011,0.0511758558907818,6.8245120665722e-10
CD001321_pub7_data,OR,80,HGAM,-0.384173747801606,0.146471831101774,0.0939239259770464
CD001321_pub7_data,OR,80,MTLE,-0.306937521179289,0.153846480143773,0.0166876993547297
CD001321_pub7_data,OR,80,PBM,-0.221598980220226,0.107932214457685,0.0686508416043341
CD001321_pub7_data,OR,80,FATIHA,-0.290242136798995,0.0506047562352624,7.6850255645855e-06
CD001396_pub4_data,OR,80,REML,0.591650261947488,0.0593794945484738,0
CD001396_pub4_data,OR,80,HKSJ,0.591650261947488,0.0616600079027641,0
CD001396_pub4_data,OR,80,QSE,0.591650261947488,0.0604875324184712,1.11022302462516e-16
CD001396_pub4_data,OR,80,LTH,0.590430690608524,0.0537550656116437,0.00121957133896455
CD001396_pub4_data,OR,80,RMR,0.596886069551765,0.0602723718481117,0.00523580760427667
CD001396_pub4_data,OR,80,CRT,0.591650261947488,0.0616600079027641,0
CD001396_pub4_data,OR,80,AWH,0.590207834976978,0.0593794956830999,0.00144242697050989
CD001396_pub4_data,OR,80,MRSTACK,0.568938542332083,0.10692909231767,0.0227117196154055
CD001396_pub4_data,OR,80,SAFE,0.59155419391324,0.0599831155442693,9.60680342484421e-05
CD001396_pub4_data,OR,80,CPC,0.589152607448441,0.461129998686293,0.00249765449904726
CD001396_pub4_data,OR,80,DTM,0.591860664555582,0.0608584956181689,0.000210402608093241
CD001396_pub4_data,OR,80,BSC,0.591650262049406,0.0593794956830999,1.01917696504472e-10
CD001396_pub4_data,OR,80,HGAM,0.567103311400277,0.21663067863591,0.0245469505472116
CD001396_pub4_data,OR,80,MTLE,0.585599607110201,0.0877103638789504,0.00605065483728728
CD001396_pub4_data,OR,80,PBM,0.563906132439622,0.0750683942328745,0.0277441295078662
CD001396_pub4_data,OR,80,FATIHA,0.591568019721658,0.0602239271263153,8.2242225829865e-05
CD001431_pub6_data,OR,80,REML,0.434127274242777,0.0793328887960278,0
CD001431_pub6_data,OR,80,HKSJ,0.434127274242777,0.0793286023978481,0
CD001431_pub6_data,OR,80,QSE,0.434127274242777,0.079330745510087,0
CD001431_pub6_data,OR,80,LTH,0.4341980012181,0.0719165740484768,7.07269753224549e-05
CD001431_pub6_data,OR,80,RMR,0.397111223054125,0.0801753752961682,0.0370160511886522
CD001431_pub6_data,OR,80,CRT,0.395466516409467,0.0698181905258234,0.0386607578333104
CD001431_pub6_data,OR,80,AWH,0.405739748050369,0.0793328895843812,0.0283875261924082
CD001431_pub6_data,OR,80,MRSTACK,0.436786341959505,0.125797006042006,0.00265906771672814
CD001431_pub6_data,OR,80,SAFE,0.434132934680696,0.0787630719442812,5.66043791888626e-06
CD001431_pub6_data,OR,80,CPC,-0.0150675975264123,0.247336916128513,0.44919487176919
CD001431_pub6_data,OR,80,DTM,0.434193907336257,0.0838481426428818,6.66330934797621e-05
CD001431_pub6_data,OR,80,BSC,0.434127274236524,0.0793328895843812,6.25310914159627e-12
CD001431_pub6_data,OR,80,HGAM,0.314317856258942,0.357077251810106,0.119809417983836
CD001431_pub6_data,OR,80,MTLE,0.438072144847179,0.113122293198877,0.0039448706044013
CD001431_pub6_data,OR,80,PBM,0.39043034065706,0.137944734339545,0.043696933585717
CD001431_pub6_data,OR,80,FATIHA,0.434124483562679,0.0791598321986492,2.79068009867434e-06
CD001533_pub7_data,OR,80,REML,-0.331057453740994,0.0755228492332553,0
CD001533_pub7_data,OR,80,HKSJ,-0.331057453740994,0.0770118391347447,0
CD001533_pub7_data,OR,80,QSE,-0.331057453740995,0.0762564435436876,5.55111512312578e-17
CD001533_pub7_data,OR,80,LTH,-0.32705272727758,0.0689153939601308,0.00400472646341427
CD001533_pub7_data,OR,80,RMR,-0.29868172418793,0.0763711526305838,0.0323757295530641
